movie_odid,display_name,release_date,territory,release_pattern,distributor
1210100,The Polar Express,2012-11-23,North America,IMAX,Warner Bros.
1220100,Planet of the Apes,2001-07-27,North America,Wide,20th Century Fox
1230100,Madagascar: Escape 2 Africa,2008-11-07,North America,Wide,Paramount Pictures
1230100,Madagascar: Escape 2 Africa,2008-11-07,North America,IMAX,Paramount Pictures
1250100,X-Men Origins: Wolverine,2009-05-01,North America,Wide,20th Century Fox
1260100,Pretty Woman,1990-03-23,North America,Wide,Walt Disney
1260100,Pretty Woman,2018-05-11,Australia,Wide,
1270100,Hitch,2005-02-11,North America,Wide,Sony Pictures
1290100,Night at the Museum: Battle of the Smithsonian,2009-05-22,North America,Wide,20th Century Fox
1290100,Night at the Museum: Battle of the Smithsonian,2009-05-22,North America,IMAX,20th Century Fox
1300100,Top Gun,1986-05-16,North America,Wide,Paramount Pictures
1300100,Top Gun,1987-12-19,South Korea,Wide,
1300100,Top Gun,2013-02-08,North America,IMAX,Paramount Pictures
1310100,There's Something About Mary,1998-07-15,North America,Wide,20th Century Fox
1320100,Ice Age,2002-03-15,North America,Wide,20th Century Fox
1330100,The Bourne Supremacy,2004-07-23,North America,Wide,Universal
1360100,Elf,2003-11-07,North America,Wide,New Line
1370100,National Treasure,2004-11-19,North America,Wide,Walt Disney
1410100,The Matrix,1999-03-31,North America,Wide,Warner Bros.
1420100,Beauty and the Beast,1991-11-13,North America,Wide,Walt Disney
1420100,Beauty and the Beast,1992-07-04,South Korea,Wide,
1420100,Beauty and the Beast,2002-01-01,North America,IMAX,Walt Disney
1420100,Beauty and the Beast,2002-06-21,North America,Limited,Walt Disney
1420100,Beauty and the Beast,2012-01-13,North America,Wide,Walt Disney
1420100,Beauty and the Beast,2016-02-19,Australia,Limited,
1420100,Beauty and the Beast,2017-11-26,South Korea,Limited,
1430100,Tarzan,1999-06-16,North America,Wide,Walt Disney
1440100,A Beautiful Mind,2001-12-21,North America,Wide,Universal
1450100,Chicago,2002-12-27,North America,Limited,Miramax
1450100,Chicago,2003-03-28,South Korea,Limited,
1460100,Quantum of Solace,2008-11-14,North America,Wide,Sony Pictures
1470100,Wild Hogs,2007-03-02,North America,Wide,Walt Disney
1490100,Casino Royale,2006-11-17,North America,Wide,Sony Pictures
1500100,Meet the Parents,2000-10-06,North America,Wide,Universal
1510100,Close Encounters of the Third Kind,1977-11-16,North America,Wide,Columbia
1510100,Close Encounters of the Third Kind,2016-05-27,United Kingdom,Limited,
1510100,Close Encounters of the Third Kind,2017-09-01,North America,Limited,Sony Pictures
1530100,Hannibal,2001-02-09,North America,Wide,MGM
1540100,Catch Me if You Can,2002-12-25,North America,Wide,Dreamworks SKG
1550100,Big Daddy,1999-06-25,North America,Wide,Sony Pictures
1560100,The Sound of Music,1965-01-01,Australia,Wide,
1560100,The Sound of Music,1965-03-02,North America,Wide,20th Century Fox
1560100,The Sound of Music,1965-03-29,United Kingdom,Wide,
1560100,The Sound of Music,2015-05-07,New Zealand,Limited,
1560100,The Sound of Music,2018-05-18,United Kingdom,Wide,
1580100,A Bug's Life,1998-11-20,North America,Exclusive,Walt Disney
1580100,A Bug's Life,1998-11-27,North America,Expands Wide,Walt Disney
1580100,A Bug's Life,1998-12-10,Australia,Wide,
1580100,A Bug's Life,2015-03-07,Australia,Limited,
1590100,The Pursuit of Happyness,2006-12-15,North America,Wide,Sony Pictures
1590100,The Pursuit of Happyness,2007-02-28,South Korea,Wide,
1600100,The Proposal,2009-06-19,North America,Wide,Walt Disney
1610100,The Waterboy,1998-11-06,North America,Wide,Walt Disney
1620100,Die Another Day,2002-11-22,North America,Wide,MGM
1630100,Shark Tale,2004-10-01,North America,Wide,Dreamworks SKG
1660100,The Longest Yard,2005-05-27,North America,Wide,Paramount Pictures
1670100,X-Men,2000-07-14,North America,Wide,20th Century Fox
1680100,Scary Movie,2000-07-07,North America,Wide,Miramax/Dimension
1700100,What Lies Beneath,2000-07-21,North America,Wide,Dreamworks SKG
1710100,The Mummy,1999-05-07,North America,Wide,Universal
