movie_odid,display_name,release_odid,release_name,video_release_date,type,distributor
70980100,The Last Waltz,43950119,The Last Waltz,1991-07-01,Regular,MGM Video
71010100,Indigènes,10100119,Days of Glory,2007-06-12,,Weinstein Co./Genius
71080100,Thirst,31220119,Thirst,2009-11-17,,Universal Home Entertainment
71140100,The Informers,29510119,The Informers,2009-08-25,,Sony Pictures Home Entertainment
71200100,For the Bible Tells Me So,13970119,For the Bible Tells Me So,2008-02-19,,Lionsgate Home Entertainment
71340100,Cidade dos Homens,17320119,City of Men,2008-07-01,,Miramax Video
71350100,This Film is Not Yet Rated,5230119,This Film is Not Yet Rated,2007-01-23,,IFC Video
71530100,Life Before Her Eyes,20870119,"Life Before Her Eyes, The",2008-08-19,,Magnolia Home Entertainment
71660100,God Grew Tired of Us: The Story of Lost Boys of Sudan,10390119,God Grew Tired of Us,2007-08-14,,Sony Pictures Home Entertainment
71780100,SLC Punk!,16510119,SLC Punk,1999-10-12,,Sony Pictures Home Entertainment
71810100,Fido,12940119,Fido,2007-10-23,,Lionsgate Home Entertainment
71860100,Caterina va in città,26450119,Caterina in the Big City,2005-11-29,,First Run Home
71870100,O'Horten,29650119,O'Horten,2009-09-22,,Sony Pictures Home Entertainment
71960100,Passengers,25000119,Passengers,2009-05-12,,Sony Pictures Home Entertainment
71980100,Wet Hot American Summer,112230119,Wet Hot American Summer,2002-08-13,Regular,Universal Home Entertainment
72450100,Southland Tales,12620119,Southland Tales,2008-03-18,,Sony Pictures Home Entertainment
72510100,Taxi to the Dark Side,18460119,Taxi to the Dark Side,2008-09-30,,Image Entertainment Video
72640100,Psycho Beach Party,116790119,Psycho Beach Party,2015-08-18,Regular,Strand Home
72650100,Honeydripper,16940119,Honeydripper,2008-06-24,,Universal Home Entertainment
72700100,The Lucky Ones,23650119,"Lucky Ones, The",2009-01-27,,Lionsgate Home Entertainment
72740100,King of California,14940119,King of California,2008-01-29,,First Look DVD
72770100,Ascenseur pour l'échafaud,169540119,Elevator to the Gallows,2006-04-25,Regular,Criterion
72820100,Steep,14820119,Steep,2008-03-18,,Sony Pictures Home Entertainment
72930100,Unmistaken Child,34620119,Unmistaken Child,2009-11-03,,Oscilloscope Video
73000100,Blood: The Last Vampire,31090119,Blood: The Last Vampire,2009-10-20,,Sony Pictures Home Entertainment
73160100,Love's Abiding Joy,5550119,Love's Abiding Joy,2007-01-02,,Fox Home Entertainment
73240100,Broken Bridges,5420119,Broken Bridges,2007-01-09,,Paramount Home Video
73280100,The Signal,16600119,"Signal, The",2008-06-10,,Magnolia Home Entertainment
73330100,Spread,33930119,Spread,2009-11-10,,Starz / Anchor Bay
73450100,Enlighten Up!,31190119,Enlighten Up!,2009-11-10,,Docurama Video
73660100,Chaos Theory,17730119,Chaos Theory,2008-06-17,,Warner Home Video
73720100,Youth Without Youth,16250119,Youth Without Youth,2008-05-13,,Sony Pictures Home Entertainment
73970100,O Jerusalem,26520119,O Jerusalem,2009-05-12,,Starz / Anchor Bay
