movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
7110100,The Golden Compass,,,,,
7120100,Kill Bill: Volume 1,,,,,271969
7150100,Seven Pounds,,53178,,,
7170100,Swordfish,,,,,98296
7220100,The Thomas Crown Affair,,,,,3293
7230100,White Chicks,,,0,,
7240100,Lost In Space,,,,,
7250100,Guess Who,,,,,
7270100,Sahara,,902,,,
7310100,Bring it On,,16340,,,
7340100,Obsessed,,,0,,318098
7400100,Heat,,368652,,,278033
7410100,Holes,,,,,
7420100,Role Models,,81364,,,
7440100,Coach Carter,,3953,,,
7470100,Race to Witch Mountain,,164900,0,,707358
7520100,End of Days,,,,,
7530100,The Mexican,,,,,
7580100,Charlie Wilson's War,,56538,,,
7650100,The Parent Trap,,1096222,,,
7660100,Kill Bill: Volume 2,,,,,20334
7680100,Herbie: Fully Loaded,,,,,
7720100,Lara Croft: Tomb Raider: The Cradle of Life,,6112,,,
7740100,Anaconda,,,,,
7770100,The Taking of Pelham 123,,,33189328,,576339
7780100,Step Up,,15704,,,
7790100,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,,,,,
7800100,The Amityville Horror,,,,,
7820100,Barbershop 2: Back in Business,,,,,
7850100,Friday the 13th,,14933,,,
7880100,Stuart Little 2,,,,,
7910100,Flushed Away,,95010,,,
7920100,L.A. Confidential,,,,,
7930100,The Happening,,,,,
7950100,Miracle,,295214,,,
7960100,Jackass: The Movie,,59654,,,
7970100,Down to Earth,,38073,,,
7980100,17 Again,,397360,0,,498577
7990100,Life,,6720635,,,
8000100,Déjà Vu,,,,,
8010100,Sky High,,,,,
8030100,Dirty Dancing,,428435,,,6551630
8060100,Mona Lisa Smile,,,,,
8120100,The Fifth Element,,,0,,
8150100,Miami Vice,,,,,
8180100,Bewitched,,2193,,,
8190100,Saw IV,,,,,
8200100,The Holiday,,,,,
8220100,Madea's Family Reunion,,,,,
8230100,The Final Destination,,,15119838,,1571475
8240100,Forgetting Sarah Marshall,,24362,,,785060
8280100,Jarhead,,,,,
8290100,The Fast and the Furious: Tokyo Drift,,,,,1075414
8330100,Spy Game,,11890,,,
8340100,Underworld: Evolution,,,,,
8370100,Cinderella Man,,,,,
8390100,The Goonies,,725855,,,6315132
8410100,Stomp the Yard,,,,,
8440100,The Cell,,,,,
8450100,Friday Night Lights,,64804,,,
8460100,The Time Traveler's Wife,,102680,30133653,,2654459
8480100,The Shaggy Dog,,,,,
8530100,Poseidon,,,,,
8540100,Three Kings,,,,,
8580100,Baby Mama,,58646,0,,
8610100,Burn After Reading,,,,,
8640100,The Family Stone,,,,,
8660100,Brüno,,,16216736,,399440
8720100,The Good Shepherd,,,,,
8730100,Little Miss Sunshine,,,,,
8740100,The Benchwarmers,,,,,
8750100,Predator,,297592,,,545372
8760100,Hellboy,,,,,
8810100,Love Actually,,1067840,,,
8840100,Dawn of the Dead,,,,,
8860100,Surf's Up,,,,,
8870100,Behind Enemy Lines,,,,,
8880100,Bride Wars,,21674,,,
8900100,Curious George,,,,,
8910100,Little Man,,,,,
8950100,Funny Girl,,,,,
8970100,Anastasia,,,,,
8990100,Halloween,,,,,
9010100,Ali,,525147,,,
9040100,Step Up 2 the Streets,,,,,
9060100,The Butterfly Effect,,,,,
9070100,Red Eye,,292489,,,
9100100,Invincible,,,,,
9110100,The Chronicles of Riddick,,,,,
9120100,La vita è bella,,,,,
9170100,Moulin Rouge,,,,,
9180100,Blood Diamond,,7764,,,
9210100,The Godfather: Part II,,,,,
9260100,Chariots of Fire,,,,,
9330100,Memoirs of a Geisha,,77086,,,
9350100,The Man in the Iron Mask,,,,,
9370100,Saw V,,,,,314604
9460100,The Queen,,302063,,,
9470100,Drumline,,,,,
9490100,Boyz n the Hood,,,,,
9510100,White Noise,,,,,
9520100,A Knight’s Tale,,,,,
9530100,The Big Chill,,,,,
9550100,Wallace & Gromit: The Curse of the Were-Rabbit,,544394,,,
9580100,Be Cool,,125223,,,
9650100,What Dreams May Come,,91181,,,
9680100,The Haunting in Connecticut,,,0,,573907
9690100,Ghosts of Girlfriends Past,,799396,28623637,,335063
9700100,Why Did I Get Married?,,,,,
9710100,Saw,,1117761,,,
9740100,The Guardian,,,,,
9750100,Don’t Say a Word,,,,,
9770100,The Jackal,,,,,
9800100,Starship Troopers,,,,,
